timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,os,python_version,codecarbon_version,cpu_count,cpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue,cloud_provider,cloud_region
2026-06-08T10:50:37,Baseline,3ce9a8f6-7328-4d83-9de7-e73b9542417e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,158.0087739999999,0.0001293097002071,8.183703786418429e-07,1.0330041771676564,0.0,10.0,1.6362784362777755e-05,0.0,0.0001648851397222,0.0001812479240849,0.0,India,IND,karnataka,Windows-11-10.0.26200-SP0,3.14.2,3.2.3,8,13th Gen Intel(R) Core(TM) i3-1315U,77.591,12.9753,15.65216064453125,machine,5.863870967741935,0,65.48774193548387,10.250245198895854,N,1.0,0.0,,
2026-06-08T11:09:47,Baseline,ba4a0df7-1be0-4807-8683-13ee77142935,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,156.68260629999986,0.00013027062354480283,8.314300267342625e-07,0.9490483605735011,0.0,10.0,1.547479791786058e-05,0.0,0.00016712001166667813,0.00018259480958453863,0.0,India,IND,,Windows-11-10.0.26200-SP0,3.14.2,3.2.3,8,13th Gen Intel(R) Core(TM) i3-1315U,79.0011,21.9974,15.65216064453125,machine,3.6039215686274506,0,66.01437908496733,10.332731010087954,N,1.0,0.0,,
